,GroupName,I,attribute,similarity
145,Sex,9,sex_infant_2,0.9862440154080433
146,Sex,10,breeding direction,0.986244015408043
147,Sex,11,;,0.9844665503625675
148,Sex,12,Gender,0.9417029590151013
149,Sex,13,host sex,0.9235797941666652
150,Sex,14,SEX,0.9173179580625537
151,Sex,15,sex_def_prob,0.8304731335708023
152,Sex,16,subject gender,0.7795064424035139
153,Sex,17,patient gender,0.7734063665420084
154,Sex,18,host_gender,0.7648859221061135
155,Sex,19,Sexe,0.758616080264234
156,Sex,20,genotyped sex,0.7582719437265194
157,Sex,21,HostSex,0.7560575001795662
158,Sex,22,DONOR_SEX,0.7478532998654639
159,Age,0,age,1.0
160,Age,1,Age,0.8716179603281196
161,Age,2,AGE,0.7936220821789658
162,Data type,0,molecular data type,1.0
163,Data type,1,Sample Description,0.838182348453726
164,Data type,2,subsrc_note,0.7616901945067351
165,Data type,3,library strategy,0.7479648622494037
166,Data type,4,seq_meth,0.7383625828777094
167,Data type,5,seq_methods,0.7327492140994841
168,Data type,6,sequencing method,0.7300212573981455
169,Data type,7,Seqence_Type,0.7246199578087121
170,Data type,8,data type,0.7129082625612321
171,Data type,9,sequencing_meth,0.712169929449965
172,Data type,10,extract_protocol,0.7107579589682924
173,Data type,11,DESCRIPTION,0.7068052448192027
174,Data type,12,technique,0.7034917362607264
175,Platform,0,platform,1.0
176,Platform,1,Platform,0.9387929351039751
177,Platform,2,INSTRUMENT_MODEL,0.929880362713661
178,Platform,3,Sequencing_method,0.927518318716288
179,Platform,4,SequencingTechnology,0.9199818957637734
180,Platform,5,sequencer,0.9167371908979773
181,Platform,6,instrument_model,0.916661493280885
182,Platform,7,labversion description,0.9160526105138546
183,Platform,8,illumina_technology,0.9141481816529937
184,Platform,9,illumina_technlogy,0.9103180394948577
185,Platform,10,sequencing method,0.9081256386212705
186,Platform,11,Sequencer,0.9046036314745456
187,Platform,12,seq_meth,0.8873264340424668
188,Platform,13,seq_methods,0.8762224669189366
189,Platform,14,sequencing_machine,0.8655911834598037
190,Platform,15,sequencing_platform,0.8632125577298049
191,Platform,16,sequencing_method,0.8578340238246587
192,Platform,17,runchemistry,0.8539197338853233
193,Platform,18,seq_method,0.8066181040781314
194,Platform,19,Sequencing method,0.7641618128189014
195,Platform,20,libraryprep,0.7432719570072477
196,Protocol,0,protocol,0.9999999999999999
197,Protocol,1,technology,0.8624264167478036
198,Protocol,2,assay,0.8481474001518582
199,Protocol,3,protocol description,0.8443547489690271
200,Protocol,4,extract_protocol,0.8282914584482274
201,Protocol,5,library type,0.8281395493356539
202,Protocol,6,experiment type,0.8238039711110222
203,Protocol,7,application,0.8104893533816779
204,Protocol,8,library_type,0.8051914699016316
205,Protocol,9,sample treatment,0.7997241138954249
206,Protocol,10,extract protocol,0.7992597914381496
207,Protocol,11,experimental design,0.7947556536413685
208,Protocol,12,rna_extraction_protocol,0.7915125904531101
209,Protocol,13,sample_title,0.7912484478735291
210,Protocol,14,library selection,0.7901129761971037
211,Protocol,15,sample_name,0.7886485800019055
212,Protocol,16,library preparation,0.7845988716613335
213,Protocol,17,TITLE,0.7827120917993692
214,Protocol,18,cell class,0.7764700679808568
215,Protocol,19,transgene,0.7739004475461221
216,Protocol,20,DESCRIPTION,0.772714163675473
217,Protocol,21,pcr primers,0.7726632989721801
218,Protocol,22,target loci,0.7698157771767119
219,Protocol,23,memberName,0.7653027564240337
220,Protocol,24,sample description,0.7651621690110715
221,Protocol,25,sorting phenotype,0.7630221903973422
222,Protocol,26,secondary description,0.7624248728367412
223,Protocol,27,index,0.7616960231752498
224,Protocol,28,data type,0.7607935871901104
225,Protocol,29,reporter,0.7595085620561037
226,Protocol,30,matching input,0.7591685712118593
227,Protocol,31,litternumber_id,0.7588913446065498
228,Protocol,32,fraction,0.7575894662332306
229,Protocol,33,SUBMITTER_ID,0.754964496759957
230,Protocol,34,ip antibody,0.7546741897258891
231,Protocol,35,injected with,0.7510826384584143
232,Protocol,36,epitope tag,0.74918133065032
233,Protocol,37,construct,0.7480759321297887
234,Protocol,38,Title,0.7441191817376847
235,Protocol,39,info,0.7432859011533479
236,Protocol,40,transfected with,0.7411342715847307
237,Protocol,41,marker,0.7408257426083561
238,Protocol,42,library strategy,0.740586207056273
239,Protocol,43,sample_identifier,0.7405317857097974
240,Protocol,44,source_material_id,0.7397294011680112
241,Protocol,45,pool_components,0.7394845897375075
242,Protocol,46,Name,0.73868731167202
243,Protocol,47,technique,0.7377343350055366
244,Protocol,48,mice_group,0.737478974069021
245,Protocol,49,control description,0.7365423717176368
246,Protocol,50,scrna-seq method,0.7365314696407528
247,Protocol,51,molecule type,0.7363759930841295
248,Protocol,52,sample_description,0.7340335090554706
249,Protocol,53,experimental condition,0.7339398015177603
250,Protocol,54,strategy,0.7295697144205268
251,Protocol,55,tag,0.7283497884868262
252,Protocol,56,treated with,0.7281087483964261
253,Protocol,57,exposed to,0.7269413318771408
254,Protocol,58,spike-in,0.7267225258252028
255,Protocol,59,grna,0.7257138853799402
256,Protocol,60,url,0.7243481245413825
257,Protocol,61,chip-antibody,0.7242102839499952
258,Protocol,62,experiment_id,0.7225746815762156
259,Protocol,63,experiment,0.7225545809247951
260,Protocol,64,individual_ID,0.7221055225648201
261,Protocol,65,RNAi treatment,0.7175434341603767
262,Protocol,66,analysis,0.7173979083453466
263,Protocol,67,antibody targetdescription,0.7170481073267205
264,Protocol,68,cell treatment,0.716290505445278
265,Protocol,69,breeding cage,0.7155144634386783
266,Protocol,70,SampleName,0.7152814531519469
267,Protocol,71,tagged protein,0.7152628794701318
268,Protocol,72,rna injected,0.7143864340830578
269,Protocol,73,SampleSource,0.711183997042027
270,Protocol,74,exogenous bacteria,0.7105739229108302
271,Protocol,75,genes analysed,0.710533184753004
272,Protocol,76,sequencing protocol,0.7103737253143784
273,Protocol,77,culture condition,0.7099993098811129
274,Protocol,78,molecule subtype,0.7078833290291954
275,Protocol,79,conditions,0.706550100996029
276,Protocol,80,treatment,0.7061134355283103
277,Protocol,81,antibody name,0.7060119993788588
278,Protocol,82,cell phenotype,0.7050652434502482
279,Protocol,83,cell_catalog,0.7041946341203595
280,Protocol,84,labversion,0.7035170021017852
281,Protocol,85,biospecimen repository sample id,0.7034518977756786
282,Protocol,86,treatment protocol,0.7025380168824037
283,Protocol,87,rip antibody,0.7022679262736339
284,Protocol,88,overexpression,0.7009923293031243
285,Protocol,89,Genetic_stock_Designation(varname),0.7008374455479819
286,Protocol,90,transduced gene,0.700188405529124
